project_id,project_name,true_delay,predicted_probability,risk_classification,top_risk_increasing_factors,top_risk_decreasing_factors
618665,4L of Sagar - Mohari from Km.8 to Km.50 Pkg-I,1,0.6153,HIGH_RISK,sector (+0.046); ministry (+0.040); efficiency_gap (+0.021),progress_growth_rate (-0.040); physical_progress_1_month_change (-0.067); monthly_progress_change (-0.084)
705651,Katni - Bina Third Railway Line [279 km],0,0.096,LOW_RISK,approval_to_start_months (+0.013); remaining_planned_months (+0.005); progress_gap_pct_points (+0.003),monthly_progress_change (-0.066); planned_duration_months (-0.085); sector (-0.090)
709827,CONSTRUCTION OF RESIDENTIAL TOWERS AT BIOM KIRANDUL COMPLEX,0,0.1578,LOW_RISK,approval_to_start_months (+0.017); original_cost (+0.004); progress_gap_pct_points (+0.004),monthly_progress_change (-0.057); ministry (-0.064); sector (-0.084)
619148,4L of Bhavnagar - Talaja Package-I from Km. 6.945 to Km. 54.990 of Old NH-8E,1,0.8691,HIGH_RISK,sector (+0.035); elapsed_duration_ratio (+0.033); ministry (+0.027),observation_count_to_date (-0.006); elapsed_months (-0.007); cost_physical_ratio (-0.013)
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,0,0.0607,LOW_RISK,planned_duration_months (+0.013); cumulative_expenditure (+0.004); missing_previous_month_flag (+0.001),monthly_progress_change (-0.060); ministry (-0.062); sector (-0.104)
618897,4L of Sethiyathope -Cholapuram section from Km. 65.960 to Km. 116.440 section of NH45 C Pkg-II,1,0.917,HIGH_RISK,sector (+0.039); elapsed_duration_ratio (+0.031); ministry (+0.027),expenditure_2_month_change (-0.001); original_cost (-0.002); state (-0.010)
618099,"Rehabilitation & up-gradation for Talere Gaganbawada - kolhapur Road NH 166G stretch start from km. 0/00 to Km. 06/00 and km. 13/00 to km 19/440 of NH-166G, length 12.440 km in the State of Maharashtra.",1,0.6943,HIGH_RISK,sector (+0.041); planned_duration_months (+0.026); ministry (+0.025),remaining_planned_months (-0.020); original_cost (-0.022); elapsed_duration_ratio (-0.067)
702633,Delhi-Ghaziabad-Meerut Regional Rapid Transit System [RRTS] corridor,0,0.1032,LOW_RISK,physical_progress_1_month_change (+0.015); monthly_progress_change (+0.013); monthly_expenditure_change (+0.006),elapsed_duration_ratio (-0.067); planned_duration_months (-0.096); sector (-0.098)
618384,Widening and Up-gradation to 2- Lane with Paved Shoulder Configuration and geometric improvement from Km. 166. 000 to Km 208.000 Package-4 on Aizawl Tuipang Section of NH-54 in the State of Mizoram Package-4,1,0.7755,HIGH_RISK,sector (+0.039); ministry (+0.031); physical_progress_1_month_change (+0.019),elapsed_months (-0.002); approval_to_start_months (-0.039); planned_duration_months (-0.077)
618865,4L from Gaju Village at Km. 32.982 to Devinagar Bypass End at Km. 208.000 of NH- 530B Pkg-1C.,1,0.9194,HIGH_RISK,sector (+0.040); ministry (+0.031); planned_duration_months (+0.024),progress_trend_slope (-0.004); elapsed_duration_ratio (-0.006); physical_progress_2_month_change (-0.009)
618484,Delhi-Amritsar-Katra Expressway Phase-I Pkg-III from Junction with Jind-Panipat road NH-352A near Gangana village to Junction with Jind-Karnal road NH-709A near Alewa village Km 60800 to Km 91400,1,0.953,HIGH_RISK,sector (+0.037); elapsed_duration_ratio (+0.029); ministry (+0.029),progress_gap_pct_points (-0.002); physical_progress_pct (-0.005)
617990,Construction of bypass road to Adoni town connecting NH-167 Hagari - Jadcharla road from km.62/700 to 71/400 in Kurnool District in the State of Andhra Pradesh.,1,0.8145,HIGH_RISK,sector (+0.042); ministry (+0.032); planned_duration_months (+0.028),progress_gap_pct_points (-0.007); remaining_planned_months (-0.017); elapsed_duration_ratio (-0.072)
612178,"Construction of 100 Bedded ESIC Hospital building and 32 Nos Residential Quarters at Vallam Vadangal, SIPCOT, Sriperumbudur",0,0.2378,LOW_RISK,planned_duration_months (+0.020); progress_gap_pct_points (+0.011); physical_progress_pct (+0.009),ministry (-0.058); monthly_progress_change (-0.061); sector (-0.094)
618833,Kodinar - Veraval Package VI from km. 221.610 to km. 263.00 of NH-8E & km. 120.900 to km. 121.150 of NH-8D,0,0.6481,HIGH_RISK,sector (+0.041); ministry (+0.039); elapsed_duration_ratio (+0.034),progress_growth_rate (-0.044); physical_progress_1_month_change (-0.070); monthly_progress_change (-0.084)
618485,Delhi-Amritsar-Katra Expressway Phase-I Pkg-IV from Junction with Jind-Karnal road NH-709A near Alewa village to Junction with Ambala-Kaithal-Hissar road NH-152 near Kharak Pandwa village Km 91400 to Km 120250,1,0.9515,HIGH_RISK,sector (+0.037); ministry (+0.030); elapsed_duration_ratio (+0.029),progress_gap_pct_points (-0.002); physical_progress_pct (-0.005)
618959,4L Prayagraj Greenfield By-pass from design Km 50860 near Nibi Kala Uperhar to design Km 64763 on NH-19 near Khodaypur Kasgaon including Interchange loop at NH-19,1,0.9136,HIGH_RISK,sector (+0.040); ministry (+0.029); planned_duration_months (+0.025),elapsed_months (-0.003); progress_trend_slope (-0.005); remaining_planned_months (-0.009)
611951,Transmission system for evacuation of power from REZ in Rajasthan 20GW under Phase-III Part E1,0,0.3716,LOW_RISK,planned_duration_months (+0.026); physical_progress_1_month_change (+0.020); monthly_progress_change (+0.016),implementing_agency (-0.031); ministry (-0.093); sector (-0.135)
618382,Widening and up-gradation to 2-lane with paved shoulder configuration and geometric improvements from km 298.00 to km 339.00 on Aizawl-Tuipang section under JICA ODA Loan assistance Phase-I Package-7,1,0.7547,HIGH_RISK,sector (+0.038); ministry (+0.029); months_since_first_observation (+0.019),cost_physical_ratio (-0.011); elapsed_duration_ratio (-0.021); planned_duration_months (-0.067)
618161,Widening and Reconstruction of existing road to four lane from Km.56400 to Km 120300 i.e. from B.Kothapalli Junction to Gorantla excluding Kadiri Bypass from Km 70200 to Km 77105 of NH 716G in the State of Andhra Pradesh on EPC mode Job no. 742,1,0.8151,HIGH_RISK,sector (+0.042); ministry (+0.027); physical_progress_1_month_change (+0.022),state (-0.005); remaining_planned_months (-0.019); elapsed_duration_ratio (-0.071)
618498,6L Greenfield Kanpur - Lucknow Expressway Pkg II from km. 28.500 to km. 73.744,1,0.8372,HIGH_RISK,sector (+0.041); ministry (+0.030); approval_to_start_months (+0.020),expenditure_trend_slope (-0.003); remaining_planned_months (-0.022); elapsed_duration_ratio (-0.049)
709766,"City Gas Distribution Project at Kurnool, Guntur & Prakasam Districts",0,0.1543,LOW_RISK,physical_progress_1_month_change (+0.014); monthly_progress_change (+0.012); progress_trend_slope (+0.008),ministry (-0.072); planned_duration_months (-0.090); sector (-0.112)
701105,Goa Airport Terminal Building Extension Project,1,0.4091,LOW_RISK,elapsed_duration_ratio (+0.033); planned_duration_months (+0.019); approval_to_start_months (+0.016),ministry (-0.072); physical_progress_1_month_change (-0.072); sector (-0.109)
619063,4L Greenfield spur from Delhi-Vadodara Greenfield expressway near Bandikui to Jaipur,1,0.881,HIGH_RISK,sector (+0.040); ministry (+0.029); planned_duration_months (+0.028),expenditure_2_month_change (-0.003); observation_count_to_date (-0.007); elapsed_duration_ratio (-0.011)
618502,Ahmedabad - Dholera Pkg II from km. 22.00 to km. 48.52 [Sindhrej Village - Vejallka Village],1,0.5178,HIGH_RISK,sector (+0.043); ministry (+0.036); elapsed_duration_ratio (+0.024),progress_growth_rate (-0.041); physical_progress_1_month_change (-0.067); monthly_progress_change (-0.086)
701406,Rajiv Bhima Lift Irrigation Scheme,1,0.374,LOW_RISK,physical_progress_1_month_change (+0.018); monthly_progress_change (+0.015); approval_to_start_months (+0.015),ministry (-0.070); planned_duration_months (-0.116); sector (-0.117)
618938,4L of Rajura-Korpana-Adilabad Road upto M.S. Border from km 32.910 to km 89.090 of NH-353B,1,0.7979,HIGH_RISK,sector (+0.040); ministry (+0.029); planned_duration_months (+0.019),monthly_expenditure_growth_pct (-0.018); expenditure_1_month_change (-0.023); monthly_expenditure_change (-0.027)
